Rank,county,pop2019
1,Hillsborough,411087
2,Rockingham,305129
3,Merrimack,149452
4,Strafford,128237
5,Grafton,89811
6,Cheshire,76263
7,Belknap,60640
8,Carroll,47840
9,Sullivan,43125
10,Coos,32038
