Rank,county,pop2019
1,Maricopa,4253913
2,Pima,1019722
3,Pinal,419721
4,Yavapai,224645
5,Yuma,207829
6,Mohave,206064
7,Coconino,140217
8,Cochise,126279
9,Navajo,108705
10,Apache,71522
11,Gila,53400
12,Santa Cruz,46584
13,Graham,37879
14,La Paz,20701
15,Greenlee,9504
