Rank,county,pop2019
1,Cumberland,290944
2,York,203102
3,Penobscot,151748
4,Kennebec,121545
5,Androscoggin,107444
6,Aroostook,68269
7,Oxford,57325
8,Hancock,54541
9,Somerset,50710
10,Knox,39823
11,Waldo,39418
12,Sagadahoc,35277
13,Lincoln,34067
14,Washington,31694
15,Franklin,30019
16,Piscataquis,16887
