Rank,county,pop2019
1,Middlesex,1595192
2,Worcester,822280
3,Suffolk,791766
4,Essex,781024
5,Norfolk,698249
6,Bristol,558905
7,Plymouth,512135
8,Hampden,469116
9,Barnstable,213690
10,Hampshire,161159
11,Berkshire,127328
12,Franklin,70935
13,Dukes,17313
14,Nantucket,11101
