Rank,county,pop2019
1,Salt Lake,1120805
2,Utah,590440
3,Davis,340621
4,Weber,247731
5,Washington,160537
6,Cache,122336
7,Tooele,65185
8,Box Elder,53001
9,Iron,49691
10,Summit,40511
11,Uintah,36323
12,Wasatch,30523
13,Sanpete,29366
14,Sevier,21118
15,Carbon,20356
16,Duchesne,20219
17,San Juan,15281
18,Millard,12733
19,Morgan,11391
20,Juab,10948
21,Emery,10248
22,Grand,9616
23,Kane,7350
24,Beaver,6443
25,Garfield,5017
26,Wayne,2694
27,Rich,2350
28,Piute,1904
29,Daggett,612
